ID	Nome	Tipo	Material	Datação	Escola ou movimento	Autoria	TIpo de produção	Técnica de Composição	Materiais	Estético	Técnicas de construção/Funcionalidades
186	Cadeira "Ant" 	Design de Mobiliário	Madeira Contraplacada e Aço	1952	Biomorfismo	Arne Jacobsen	Produção industrial	Concebida pelo mestre Arne Jacobsen, a Cadeira "Ant" (Formiga) é uma síntese visual perfeita entre a produção industrial em massa e a observação atenta do mundo natural. Refletindo diretamente o conceito de zoomorfismo, o assento e o encosto contínuos de madeira foram desenhados com um pronunciado estrangulamento central que imita claramente a anatomia segmentada (cabeça e tórax) de uma formiga. O biomorfismo caracteriza-se por estar aberto às formas da natureza, e esta obra materializa esse ideal ao fundir a estética animal com uma necessidade estritamente utilitária. Aproveitando o desenvolvimento de novos materiais e de tecnologia, a cadeira converte a máquina num meio para criar um design ágil, abandonando o formalismo retilíneo em prol de uma silhueta biológica ininterrupta.	Madeira, Aço	Anatômico, Zoomórfico, Orgânico	Moldagem a quente, Prensagem, Curvatura de madeira, Soldagem, Empilhamento
187	Cadeira "Bone" (Bone Chair)	Design de Mobiliário	Alumínio Fundido	2006	Biomorfismo	Joris Laarman	Design Assinado	Criada no século XXI pelo designer Joris Laarman, a Cadeira "Bone" representa a evolução tecnológica extrema do neorganicismo. A obra materializa de forma literal a combinação integrada de formas naturais e fluidas com materiais e processos de tecnologia de ponta. Utilizando algoritmos informáticos que imitam o crescimento natural e a otimização biológica dos ossos e das árvores (adicionando material onde há tensão e retirando onde não há), a peça implementa a eficiência da natureza. O biomorfismo aqui transcende os motivos meramente decorativos: a máquina e o computador são convertidos num meio para alcançar a perfeição evolutiva celular, resultando num design que se assemelha a uma carcaça óssea espetacular, fluida e polida.	Alumínio	Zoomórfico, Orgânico	Modelação algorítmica, Impressão 3D, Fundição de alumínio, Polimento manual
188	Cadeira "Swan" (Cadeira Cisne)	Design de Mobiliário	Espuma Sintética, Alumínio e Tecido	1958	Biomorfismo	Arne Jacobsen	Produção industrial	Concebida por Arne Jacobsen originalmente para o SAS Royal Hotel em Copenhaga, a Cadeira "Swan" é um ícone inquestionável do biomorfismo. A corrente, também conhecida como «zoomorfismo», caracteriza-se por estar fortemente aberta às formas da natureza. A silhueta ininterrupta e as abas laterais da poltrona foram desenhadas para emular a elegância orgânica das asas e do pescoço de um cisne. Apoiando-se no desenvolvimento de novas tecnologias e materiais que prepararam o caminho para este estilo, a obra elimina as linhas retas, dissociando a máquina do seu papel de tema principal para convertê-la num meio de criação escultórica. A peça reflete a combinação integrada de formas naturais e fluidas com materiais de tecnologia de ponta, implementando um invólucro acolhedor inspirado na fauna que revolucionou o design de interiores.	Plástico, Espuma, Tecido, Couro, Alumínio	Fluido, Orgânico, Assimétrico	Moldagem de espuma, Estofamento artesanal, Fundição de alumínio, Base giratória
189	Sofá "Freeform"	Design de Mobiliário	Madeira, Espuma e Tecido	1946	Biomorfismo	Isamu Noguchi	Produção industrial	Criado pelo escultor e designer Isamu Noguchi, o Sofá "Freeform" é uma celebração excecional da estética biomórfica inicial. Afastando-se do tradicional design retilíneo de estofados, a peça adota volumes assimétricos e ininterruptos que lembram grandes seixos de rio desgastados pela água ou silhuetas curvas derivadas da anatomia humana. O biomorfismo caracteriza-se por implementar formas naturais, e esta obra traduz perfeitamente esse ideal ao dissociar a máquina do seu papel de tema principal para convertê-la num meio ao serviço da escultura pura. Evocando o neorganicismo de forma tátil, a peça integra-se suavemente no espaço, oferecendo assentos de formas fluidas e arredondadas que convidam à interação social descontraída e orgânica.	Madeira, Espuma, Tecido	Orgânico, Aerodinâmico	Entalhe em madeira, Moldagem manual de espuma, Estofamento esticado, Torneamento de madeira
190	Cadeira "Z" (Colani Z-Chair)	Design de Mobiliário	Plástico	1973	Biomorfismo	Luigi Colani	Produção industrial	Projetada pelo célebre designer Luigi Colani, muitas vezes considerado o mestre do "biodesign", a Cadeira "Z" representa uma fusão extrema entre ergonomia e estética biomórfica. A corrente caracteriza-se por estar intensamente aberta às formas da natureza e do corpo humano, e Colani eliminou radicalmente todos os ângulos retos da peça em prol de curvas hiper-aerodinâmicas baseadas na fluidez dos organismos vivos em movimento. A obra é um testemunho brilhante da combinação integrada de formas naturais e fluidas com materiais de tecnologia de ponta. Dissociando a máquina e a indústria pesada do seu papel mecânico estrito, o autor converte o uso dos plásticos num meio para alcançar uma silhueta orgânica ininterrupta e zoomórfica que desafia a gravidade.	Polietileno, Poliuretano	Zoomórfico, Anatômico	Moldagem por injeção, Estrutura em balanço, Acabamento em alto brilho
191	Poltrona "Gilda"	Design de Mobiliário	Madeira Maciça, Latão e Tecido	1954	Biomorfismo	Carlo Mollino	Design Assinado	Desenhada pelo mestre italiano Carlo Mollino, cujos emblemáticos designs ajudaram a difundir este estilo, a Poltrona "Gilda" é uma fascinante expressão de zoomorfismo. A corrente caracteriza-se por estar fortemente aberta às formas da natureza e do corpo humano, implementando silhuetas orgânicas de forma dramática. As articulações e os apoios de braço meticulosamente esculpidos nesta peça assemelham-se a patas e membros musculares em tensão, fundindo o mobiliário com a anatomia. A obra dissocia a máquina do seu papel de tema principal para convertê-la num meio de criação artesanal avançada, demonstrando como as formas naturais podem ditar a mecânica de uma cadeira ajustável em várias posições, evocando um neorganicismo ágil e provocador.	Madeira, Latão, Tecido	Oval, Orgânico, Envolvente	Escultura em madeira, Usinagem de latão, Articulação mecânica, Estofamento tradicional
192	Cadeira "Egg" (Cadeira Ovo)	Design de Mobiliário	Espuma de Poliuretano, Fibra de Vidro e Alumínio	1958	Biomorfismo	Arne Jacobsen	Produção industrial	Criada por Arne Jacobsen para o luxuoso SAS Royal Hotel, a Cadeira "Egg" é uma das silhuetas mais icónicas do século XX. O biomorfismo caracteriza-se por implementar formas naturais, e esta obra alcançou a perfeição ao inspirar-se diretamente na geometria contínua de uma casca de ovo para criar um casulo envolvente de privacidade. Apoiando-se nas novas tecnologias e materiais que prepararam o caminho para o estilo, Jacobsen utilizou espuma sob o estofamento para esculpir uma forma outrora impossível. A peça reflete a combinação integrada de formas naturais e fluidas com materiais de tecnologia de ponta, dissociando a indústria do purismo retilíneo e convertendo-a num meio para produzir um assento orgânico, ininterrupto e incrivelmente acolhedor.	Fibra de vidro, Espuma, Couro, Tecido, Alumínio	Zoomórfico, Anatômico, Estrutural, Translúcido	Moldagem de espuma, Reforço de fibra de vidro, Estofamento manual, Fundição de alumínio, Base giratória
193	Mesa "Reale"	Design de Mobiliário	Madeira Maciça e Vidro	1946	Biomorfismo	Carlo Mollino	Design Assinado	Concebida pelo designer italiano Carlo Mollino, a Mesa "Reale" é um dos pináculos do biomorfismo europeu do pós-guerra. A corrente é conhecida por adotar formas zoomórficas espetaculares, e esta mesa ilustra-o perfeitamente ao transformar a engenharia de suporte numa verdadeira carcaça anatómica. Aberta às formas da natureza e do corpo humano, a complexa estrutura cruzada de madeira que suporta o tampo de vidro translúcido foi desenhada para imitar o comportamento de articulações, ossos e tendões sob carga. A obra dissocia a máquina do seu papel de tema principal, implementando formas naturais que convertem os princípios da aeronáutica e da marcenaria estrutural num esqueleto animal incrivelmente dinâmico e leve, evocando perfeitamente o neorganicismo.	Madeira, Latão, Vidro	Vertical, Cores vivas, Antropomórfico	Engenharia aeronáutica, Marcenaria, Escultura em madeira, Fixação mecânica, Corte de vidro
194	Estante "Carlton"	Design de Mobiliário	Madeira MDF e Laminado Plástico	1981	Memphis	Ettore Sottsass	Design Assinado	Totem colorido, estética lúdica, laminado plástico, cores vivas, avanço experimental, escultura utilitária	Madeira, Plástico	Assimétrico	Marcenaria estrutural, Colagem a frio, Encaixe oblíquo, Montagem sobre base
195	Armário "Beverly"	Design de Mobiliário	Madeira, Laminado Plástico e Metal	1981	Memphis	Ettore Sottsass	Design Assinado	Cultura pós-punk, pele de cobra, casco de tartaruga, laminado amarelo, assimetria radical, estética kitsch	Madeira, Plástico, Metal, Vidro	Semicircular, Geométrico	Construção modular, Aplicação de laminado, Dobra de tubos, Integração elétrica
196	Luminária "Super"	Design de Produto	Fibra de Vidro, Borracha e Metal	1981	Memphis	Martine Bedin	Design Assinado	Matriz de lâmpadas, lâmpadas multicoloridas, formato semicircular, estética lúdica, brinquedo iluminado, design audaz	Fibra, Borracha, Metal	Contraste cromático	Moldagem de fibra, Fixação elétrica, Montagem de eixo, Sistema rolante
197	Poltronas "Oberoi"	Design de Mobiliário	Madeira e Tecido	1981	Memphis	George Sowden	Design Assinado	Estofamento vermelho, pernas amarelas, design colorido, cultura pós-punk, estética audaz	Madeira, Tecido	Geométrico, Esférico	Marcenaria estrutural, Estofamento, Pintura lacada, Montagem mecânica
198	Cadeira "First"	Design de Mobiliário	Aço Tubular e Madeira	1983	Memphis	Michele De Lucchi	Design Assinado	Avanço experimental, esferas decorativas, encosto circular, estética lúdica, formas audazes	Aço, Madeira	Vertical, Padronizado	Curvatura a frio, Soldagem, Torneamento esférico, Pintura epóxi
199	Estante "Casablanca"	Design de Mobiliário	Madeira MDF e Laminado Plástico	1981	Memphis	Ettore Sottsass	Design Assinado	Totem colorido, laminado plástico, estampa kitsch, braços angulados, escultura utilitária	Madeira, Plástico	Geométrico	Marcenaria modular, Colagem de laminado, Encaixe diagonal, Base de contrapeso
200	Ringue de Boxe / Cama "Tawaraya"	Design de Mobiliário	Madeira, Tatame e Seda	1981	Memphis	Masanori Umeda	Design Assinado	Ringue de boxe, cultura pop, estética kitsch, espaço lúdico, ironia pós-moderna	Madeira, Fibras naturais, Metal, Tecido	Geométrico, Cores vivas, Assimétrico	Montagem modular, Tecelagem, Estofamento, Pintura lacada
201	Sofá "Big Sur"	Design de Mobiliário	Madeira e Tecido	1981	Memphis	Peter Shire	Design Assinado	Geometria audaz, cores vivas, assimetria radical, estética lúdica, escultura utilitária	Madeira, Tecido	Zoomórfico, Articulado	Marcenaria estrutural, Montagem de blocos, Estofamento, Costura invisível
202	Luminária "Tahiti"	Design de Produto	Laminado Plástico e Metal	1981	Memphis	Ettore Sottsass	Produção industrial	Pássaro tropical, totem colorido, laminado plástico, estampa kitsch, estética lúdica	Madeira, Plástico, Metal	Assimétrico, Zoomórfico	Colagem de laminado, Usinagem de metal, Montagem de eixo, Eletrificação embutida
